start,end,note,sheet
"2024-12-30 00:22:22","2024-12-31 11:22:33","44._GP_Osterhas_2025_[316629]","RR"
"2024-12-30 20:25:09","2024-12-31 11:25:13","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2024-12-30 23:22:51","2024-12-31 11:22:56","Bus_Plan","RR"
"2025-01-06 18:30:00","2025-01-06 19:14:00","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-07 09:57:43","2025-01-07 10:14:42","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-07 12:54:51","2025-01-07 13:12:56","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-08 09:25:00","2025-01-08 09:32:03","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-09 14:27:26","2025-01-09 14:36:41","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-09 14:43:11","2025-01-09 14:48:58","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-09 15:04:29","2025-01-09 16:38:51","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-10 10:28:48","2025-01-10 10:40:00","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-10 10:40:00","2025-01-10 11:48:24","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-10 12:50:00","2025-01-10 13:38:38","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-10 16:40:16","2025-01-10 16:40:20","Fishermans_Sliding_Challenge_Winteredition_[323059]","RR"
"2025-01-10 16:40:24","2025-01-10 16:51:27","44._GP_Osterhas_2025_[316629]","RR"
"2025-01-10 18:36:32","2025-01-10 18:40:31","Other","RR"
"2025-01-13 09:40:08","2025-01-13 09:56:28","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-13 09:58:44","2025-01-13 12:07:11","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-01-13 12:16:09","2025-01-13 12:18:11","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
